"","prompt","Generation","label"
"0","Latest Headlines on CNN Business","1. Ford recalling 373,000 cars in the US over steering issues2. Walmart report stronger-than-expected quarterly earnings3. Amazon announces nationwide expansion of same-day delivery4. GoPro shares plunge after disappointing fiscal fourth-quarter results","GPT3"
"1","China wants to take a victory lap over its handling of the coronavirus outbreak","October 27, 2016, 10:06 p.m.China has issued a press statement that congratulates the country for its handling of the coronavirus outbreak. The release notes that there have been zero confirmed cases of the virus in China, and that the country has responded quickly and effectively to the pandemic.","GPT3"
"2","Coronavirus disinformation creates challenges for China's government","The Chinese government has been vocal about its opposition to the spread of coronavirus, and has taken actions to help curtail the spread of the virus in its citizens. However, some Chinese citizens are disseminating false information about the virus in order to scare others. These fake stories may influence some people to avoid traveling, which could have a negative impact on the country's economy.","GPT3"
"3","China coronavirus: Eating wild animals made illegal but ending the trade won't be easy","The World Health Organization (WHO) says that the sale and trade of wild animals is now illegal in China, after the coronavirus was first identified there in November.This news comes as a relief to many, as it had been feared that the widespread consumption of wild mammals and birds could contribute to the spread of the virus.However, halting the trade in wild animals is not going to be easy, as it is likely to be a major source of food for many people in China.The authorities will also have to address the fact that many people in China rely on hunting and eating wild animals as a way of survival.It will be crucial for the Chinese authorities to work with the population to promote health and food safety measures, while ensuring that people have access to adequate food.","GPT3"
"4","China's economy could shrink for the first time in decades because of the coronavirus","A new study by the Oxford Economics research firm has predicted that China’s economy could shrink by up to 3% in the first quarter of 2019 as a result of the coronavirus.The study, which was released on Monday, said that the economic slowdown would particularly hit the manufacturing, tourism, and real estate sectors.The research also predicted that the global impact of the coronavirus would be “broad-based and sizeable”, with knock-on effects for economies around the world.The report said that the virus has caused global travel disruptions, stock market volatility, and a fall in the value of currencies.Related stories:China's economy grows at its slowest pace in a quarter of a centuryOxford Economics predicts China's economy will shrink by up to 3% in the first quarter of 2019Oxford Economics predicts global economy will grow by 3.1% in 2019","GPT3"
"5","China and Japan's budding relationship in the time of coronavirus"," pandemicChina and Japan have been working together to combat the coronavirus pandemic since it first emerged in March 2014. The two countries have pledged to cooperate on the development of vaccines, treatment and prevention strategies. They are also collaborating on the sharing of blood and blood products.","GPT3"
"6","Coronavirus is fast becoming an 'economic pandemic'","According to a report from the World Health Organization (WHO), coronavirus is quickly becoming an ""economic pandemic."" The report warns that the virus could cause widespread economic damage, with a total economic impact of up to $50 billion by 2021.The WHO report estimates that there have been over 1,000 confirmed cases of coronavirus worldwide, with over 360 deaths. The virus has primarily affected Saudi Arabia, India, and Iran, with a focus on Saudi Arabia where over 60% of all cases have been reported.The WHO report warns that the virus could cause widespread economic damage, with a total economic impact of up to $50 billion by 2021.Coronavirus is a highly contagious virus that can cause severe respiratory illness, including pneumonia, in people of all ages. The virus is most commonly spread through contact with respiratory secretions, such as saliva, mucus, or blood, from an infected person. coronavirus can also be spread through contact with surfaces that have been contaminated with the virus, such as doorknobs, door handles, or countertops.The WHO report notes that there are currently no vaccines or specific treatments available for coronavirus, which makes prevention of the virus very important. The report urges countries to increase surveillance and response efforts to address the potential economic impacts of the virus.","GPT3"
"7","A history of Wuhan, one-time Chinese capital and coronavirus epicenter","Wuhan, China, was once the capital of China and one of the most important cities in East Asia. It is now the capital of the Hubei province. The city is also a major transportation center and a center of industry. It is the main city of the Wuhan metropolitan area, which has a population of over 10 million people.The city was founded in the 19th century by the Qing dynasty. It became the provincial capital of Hubei in 1927. Wuhan was the capital of China during the Japanese occupation from 1937 to 1945.The city was the site of the first documented case of SARS, which began in February 2003. The city was also the center of the global response to the 2009 pandemic of H1N1.","GPT3"
"8","Global stocks pull back from the edge after historic sell-off","Stocks trimmed losses after a brutal sell-off on Wall Street overnight, but the S&P 500 was still down 0.8% at 2,711. The Dow Jones Industrial Average was down 1.1% at 27,362, while the Nasdaq Composite was off 0.8% at 7,714.European markets were broadly lower, with the Stoxx 600 shedding 0.8% and the FTSE 100 shedding 1.3%. The Japanese Nikkei 225 was off 0.5%.Oil prices plunged as much as 3.7% as domestic demand continued to weigh on supply. The 10-year yield on Treasury securities was up 2bps to 2.88%.","GPT3"
"9","Chinese diplomat promotes conspiracy theory that US military brought virus to Wuhan","On January 5, 2019, a Chinese diplomat promoting a conspiracy theory that the US military had deliberately brought a virus to Wuhan, China, was caught on video.The video, which circulated on social media, shows the diplomat speaking to an audience at a rally in Wuhan. According to the video, the US military had deliberately infected Chinese residents in Wuhan with a virus to weaken the Chinese military.The diplomat has not been identified, and it is unclear whether the video is genuine. However, the claim is a virulent conspiracy theory that has circulated on Chinese social media platforms for years.This is not the first time that a Chinese diplomat has promoted a conspiracy theory. In December 2017, a Chinese diplomat promoting a conspiracy theory that the US was planning to launch a missile attack on Beijing was caught on video.","GPT3"
"10","Putin and Xi are using the coronavirus crisis to extend their control. Across the world, Trump is struggling to keep up",".On Sunday, Trump tweeted that the United States was “monitoring the global response to the outbreak closely and will provide assistance where needed.” The next day, he tweeted, “The United States is monitoring the global response to the outbreak closely and will provide assistance where needed.”But Trump’s lack of strategic planning and coordination is quickly becoming apparent. On Tuesday, he met with Xi in China and didn’t mention the coronavirus crisis. And on Wednesday, he met with German Chancellor Angela Merkel and didn’t mention the crisis either.Meanwhile, the global response to the crisis is falling short. On Tuesday, the World Health Organization (WHO) said that the number of cases had peaked and was starting to decline, but it still has more than 1,200 people dead.The main reason why the global response has been so slow is because the governments of the world are scared of making any mistakes. They are afraid that if they do anything wrong, Xi and Putin will take advantage of the situation and tighten their control over the world.This is why Trump is struggling. He doesn’t have the charisma or the political experience to quickly manage the situation. He is also not well-informed about the world of global politics. If he doesn’t get his act together, Xi and Putin will eventually be able to take control of the world.","GPT3"
"11","How this South Korean company created coronavirus test kits in three weeks","A South Korean company that specializes in coronavirus test kits created them in three weeks. The coronavirus is a particularly deadly form of respiratory illness. It can be spread through coughing and sneezing, and can cause severe illness, including pneumonia. The test kits allow doctors to quickly and easily test for the virus, which can help to prevent further outbreaks.","GPT3"
"12","The 30 most troubling lines from Donald Trump's latest news conference on coronavirus","""The World Health Organization is working very hard on the coronavirus and we are doing very well. But we can do a lot better, and we will do a lot better.""1. ""We have the best hospitals in the world.""2. ""This is an extremely serious global threat and we are doing everything we can to help.""3. ""We have a very good relationship with the World Health Organization.""4. ""This is a global problem and we will solve it together.""5. ""I have spoken to the governors of numerous states and we are doing very well.""6. ""This is a very serious situation and we are doing everything we can to solve it.""7. ""We are working very closely with the World Health Organization and we are doing very well.""8. ""I have spoken to the Prime Minister of Japan and he says we are doing very well.""9. ""I am closely monitoring the situation and we are doing very well.""10. ""We are doing very well and we will solve this problem.""","GPT3"
